Sparse,100,BFS,4.792213439941406e-05,1536
Sparse,100,DFS,1.3113021850585938e-05,808
Dense,100,BFS,0.000186920166015625,11792
Dense,100,DFS,0.00047707557678222656,30936
Tree,100,BFS,8.320808410644531e-05,11792
Tree,100,DFS,7.843971252441406e-05,10680
Sparse,1000,BFS,0.0009307861328125,44096
Sparse,1000,DFS,0.0013325214385986328,74856
Dense,1000,BFS,0.012752294540405273,44096
Dense,1000,DFS,0.03639864921569824,2088488
Tree,1000,BFS,0.0007100105285644531,42512
Tree,1000,DFS,0.005435943603515625,41912
Sparse,3000,BFS,0.004557609558105469,174896
Sparse,3000,DFS,0.008138895034790039,526248
Dense,3000,BFS,0.11812281608581543,174896
Dense,3000,DFS,0.39438843727111816,19400616
Tree,3000,BFS,0.002187490463256836,165392
Tree,3000,DFS,0.0021810531616210938,165656
